District,State,Location,Latitude,Longitude,Lithology,Aquifer_Type,Expected_WBZ_Depth_m,Water_Level_m,Expected_Discharge_LPM,pH,EC_uS_cm,Hardness_mg_L,Nitrate_mg_L,Fluoride_mg_L,Recommended_Drilling,Well_Suitability,Expected_Water_Quality
Prakasam,Andhra Pradesh,Site-0001,16.138,82.4809,Alluvium,Semi-confined,115,8.69,433,8.06,750,220,99.0,1.82,Down-the-Hole,Not Suitable,Moderate
Guntur,Andhra Pradesh,Site-0002,16.1431,78.8406,Limestone,Unconfined,284,10.19,234,6.61,1959,680,22.0,0.86,Down-the-Hole,Suitable,Good
West Godavari,Andhra Pradesh,Site-0003,17.0447,77.8073,Alluvium,Unconfined,52,17.46,56,6.99,1166,472,50.0,1.86,Percussion Drilling,Not Suitable,Good
East Godavari,Andhra Pradesh,Site-0004,17.8187,81.9981,Alluvium,Fractured,144,7.79,263,8.33,855,377,10.0,1.23,Rotary Drilling,Not Suitable,Poor
Anantapur,Andhra Pradesh,Site-0005,14.0761,82.6304,Granite,Fractured,65,17.79,493,7.06,1930,418,42.0,0.36,Auger Drilling,Suitable,Good
Prakasam,Andhra Pradesh,Site-0006,14.204,80.9466,Sandstone,Confined,267,8.63,302,8.5,1789,300,94.0,1.82,Percussion Drilling,Not Suitable,Good
Anantapur,Andhra Pradesh,Site-0007,18.5944,77.1674,Limestone,Semi-confined,34,19.12,50,8.02,970,414,14.0,0.57,Percussion Drilling,Not Suitable,Moderate
Krishna,Andhra Pradesh,Site-0008,18.7671,83.8079,Basalt,Semi-confined,77,2.79,168,8.29,1264,522,90.0,1.81,Auger Drilling,Not Suitable,Poor
Chittoor,Andhra Pradesh,Site-0009,16.4846,80.538,Alluvium,Fractured,68,12.65,81,7.37,467,342,38.0,0.67,Down-the-Hole,Not Suitable,Moderate
Prakasam,Andhra Pradesh,Site-0010,14.9083,78.9037,Granite,Confined,99,16.04,349,6.72,416,268,58.0,1.04,Auger Drilling,Not Suitable,Good
